"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"1:28","AN3","WT","male","Primary somatosensory area, barrel field, layer 2/3","SSp-bfd2/3","/997/8/567/688/695/315/453/322/329/201/",329,439,1799.85896321564
"1:30","AN3","WT","male","Lateral posterior nucleus of the thalamus","LP","/997/8/343/1129/549/856/138/218/",138,158,689.610021168409
"1:31","AN3","WT","male","Arcuate hypothalamic nucleus","ARH","/997/8/343/1129/1097/157/223/",157,186,2274.97890140535
"1:32","AN3","WT","male","Temporal association areas, layer 4","TEa4","/997/8/567/688/695/315/541/234/",541,33,1462.83079923755
"1:34","AN3","WT","male","Primary auditory area, layer 2/3","AUDp2/3","/997/8/567/688/695/315/247/1002/251/",1002,122,3885.72156575469
"1:35","AN3","WT","male","Dorsal auditory area, layer 5","AUDd5","/997/8/567/688/695/315/247/1011/252/",1011,29,398.751495318107
"1:36","AN3","WT","male","Reticular nucleus of the thalamus","RT","/997/8/343/1129/549/856/262/",856,7,37.2506864769365
"1:37","AN3","WT","male","Retrosplenial area, dorsal part, layer 6a","RSPd6a","/997/8/567/688/695/315/254/879/274/",879,44,555.275113579001
"1:38","AN3","WT","male","Striatum-like amygdala nuclei","sAMY","/997/8/567/623/477/278/",477,68,1659.54850518609
"1:40","AN3","WT","male","Anteromedial visual area, layer 1","VISam1","/997/8/567/688/695/315/669/394/281/",394,30,2850.35629453682
"1:41","AN3","WT","male","Temporal association areas, layer 5","TEa5","/997/8/567/688/695/315/541/289/",541,40,498.666068267385
"1:42","AN3","WT","male","stria terminalis","st","/997/1009/991/768/301/",768,238,1705.39636134339
"1:43","AN3","WT","male","Basolateral amygdala nucleus, anterior part","BLAa","/997/8/567/688/703/295/303/",295,154,808.449876107681
"1:44","AN3","WT","male","Basolateral amygdala nucleus, posterior part","BLAp","/997/8/567/688/703/295/311/",295,52,426.477704237712
"1:46","AN3","WT","male","Agranular insular area, posterior part, layer 6a","AIp6a","/997/8/567/688/695/315/95/111/314/",111,17,438.505984316962
"1:47","AN3","WT","male","Basomedial amygdala ","BMA","/997/8/567/688/703/319/",703,442,2146.90253451073
"1:51","AN3","WT","male","Substantia innominata","SI","/997/8/567/623/803/835/342/",835,29,964.640920733127
"1:52","AN3","WT","male","Agranular insular area, posterior part, layer 5","AIp5","/997/8/567/688/695/315/95/111/344/",111,63,846.819721490403
"1:55","AN3","WT","male","Mediodorsal nucleus of thalamus","MD","/997/8/343/1129/549/856/444/362/",444,86,264.730236810432
"1:56","AN3","WT","male","Parasubthalamic nucleus","PSTN","/997/8/343/1129/1097/290/364/",290,75,3398.12423542205
"1:58","AN3","WT","male","CA1","CA1","/997/8/567/688/695/1089/1080/375/382/",375,386,444.70763353326
"1:60","AN3","WT","male","Medial amygdala nucleus","MEA","/997/8/567/623/477/278/403/",278,808,2061.87145456355
"1:61","AN3","WT","male","Subparafascicular nucleus, magnocellular part","SPFm","/997/8/343/1129/549/864/406/414/",406,13,458.683226307247
"1:62","AN3","WT","male","CA2","CA2","/997/8/567/688/695/1089/1080/375/423/",375,71,517.892832654967
"1:63","AN3","WT","male","Ectorhinal area/Layer 2/3","ECT2/3","/997/8/567/688/695/315/895/427/",895,98,2145.03031496925
"1:64","AN3","WT","male","Retrosplenial area, ventral part, layer 2/3","RSPv2/3","/997/8/567/688/695/315/254/886/430/",886,139,1220.52948149449
"1:65","AN3","WT","male","Anteromedial visual area, layer 5","VISam5","/997/8/567/688/695/315/669/394/433/",394,17,969.434306569343
"1:66","AN3","WT","male","Retrosplenial area, dorsal part, layer 2/3","RSPd2/3","/997/8/567/688/695/315/254/879/434/",879,236,2201.55414797056
"1:67","AN3","WT","male","columns of the fornix","fx","/997/1009/991/768/1099/737/436/",737,44,2111.72969859858
"1:69","AN3","WT","male","Retrosplenial area, dorsal part, layer 1","RSPd1","/997/8/567/688/695/315/254/879/442/",879,211,3105.77291059495
"1:70","AN3","WT","male","dorsal hippocampal commissure","dhc","/997/1009/991/768/1099/618/443/",618,24,349.538318138126
"1:71","AN3","WT","male","Primary somatosensory area, upper limb, layer 1","SSp-ul1","/997/8/567/688/695/315/453/322/369/450/",369,6,2228.82615156018
"1:72","AN3","WT","male","Basolateral amygdala nucleus, ventral part","BLAv","/997/8/567/688/703/295/451/",295,84,1125.19088059582
"1:74","AN3","WT","male","CA3","CA3","/997/8/567/688/695/1089/1080/375/463/",375,254,583.822150304323
"1:75","AN3","WT","male","alveus","alv","/997/1009/991/768/1099/466/",1099,30,436.706649586584
"1:76","AN3","WT","male","Subthalamic nucleus","STN","/997/8/343/1129/1097/290/470/",290,70,1005.74712643678
"1:77","AN3","WT","male","Striatum","STR","/997/8/567/623/477/",623,266,1661.5134763734
"1:78","AN3","WT","male","Primary somatosensory area, lower limb, layer 6a","SSp-ll6a","/997/8/567/688/695/315/453/322/337/478/",337,17,553.727891599622
"1:79","AN3","WT","male","Medial habenula","MH","/997/8/343/1129/549/856/958/483/",958,125,1483.99658087188
"1:81","AN3","WT","male","Ventral auditory area, layer 6a","AUDv6a","/997/8/567/688/695/315/247/1018/520/",1018,11,204.533199457057
"1:83","AN3","WT","male","Dorsal auditory area, layer 1","AUDd1","/997/8/567/688/695/315/247/1011/527/",1011,224,6325.89663936741
"1:85","AN3","WT","male","Central amygdala ","CEA","/997/8/567/623/477/278/536/",278,630,2820.49560136995
"1:86","AN3","WT","male","Perirhinal area, layer 1","PERI1","/997/8/567/688/695/315/922/540/",922,188,5172.22405634423
"1:87","AN3","WT","male","Retrosplenial area, ventral part, layer 1","RSPv1","/997/8/567/688/695/315/254/886/542/",886,104,1256.38764391075
"1:88","AN3","WT","male","Thalamus","TH","/997/8/343/1129/549/",1129,468,615.729521072948
"1:92","AN3","WT","male","Retrosplenial area, ventral part, layer 6a","RSPv6a","/997/8/567/688/695/315/254/886/590/",886,28,585.406648546937
"1:93","AN3","WT","male","fasciculus retroflexus","fr","/997/1009/991/824/1083/595/",1083,41,1298.33116944805
"1:95","AN3","WT","male","Central medial nucleus of the thalamus","CM","/997/8/343/1129/549/856/51/599/",51,7,166.258936417832
"1:96","AN3","WT","male","Dorsal auditory area, layer 2/3","AUDd2/3","/997/8/567/688/695/315/247/1011/600/",1011,189,3326.11794519825
"1:97","AN3","WT","male","fimbria","fi","/997/1009/991/768/1099/603/",1099,139,751.87969924812
"1:99","AN3","WT","male","Retrosplenial area, dorsal part, layer 5","RSPd5","/997/8/567/688/695/315/254/879/610/",879,75,585.338442687562
"1:100","AN3","WT","male","habenular commissure","hbc","/997/1009/991/824/1083/611/",1083,37,2285.64368668149
"1:101","AN3","WT","male","Tuberal nucleus","TU","/997/8/343/1129/1097/290/614/",290,635,3585.26147001366
"1:103","AN3","WT","male","Primary somatosensory area, upper limb, layer 5","SSp-ul5","/997/8/567/688/695/315/453/322/369/625/",369,15,791.598501240171
"1:104","AN3","WT","male","Dentate gyrus, granule cell layer","DG-sg","/997/8/567/688/695/1089/1080/726/632/",726,86,599.808898095258
"1:106","AN3","WT","male","Cortical amygdala area, anterior part","COAa","/997/8/567/688/695/698/631/639/",631,105,4788.18003556934
"1:107","AN3","WT","male","Cortical amygdala area, posterior part","COAp","/997/8/567/688/695/698/631/647/",631,947,3337.25675380419
"1:108","AN3","WT","male","Primary somatosensory area, trunk, layer 2/3","SSp-tr2/3","/997/8/567/688/695/315/453/322/361/670/",361,212,1977.83333955293
"1:109","AN3","WT","male","Retrosplenial area, lateral agranular part, layer 1","RSPagl1","/997/8/567/688/695/315/254/894/671/",894,79,2197.2520442788
"1:110","AN3","WT","male","Caudoputamen","CP","/997/8/567/623/477/485/672/",485,826,962.160084334613
"1:111","AN3","WT","male","Dorsal auditory area, layer 4","AUDd4","/997/8/567/688/695/315/247/1011/678/",1011,24,987.816924596641
"1:112","AN3","WT","male","Retrosplenial area, ventral part, layer 5","RSPv5","/997/8/567/688/695/315/254/886/687/",886,66,376.76394026579
"1:113","AN3","WT","male","mammillothalamic tract","mtt","/997/1009/991/824/46/690/",46,23,578.223596550771
"1:114","AN3","WT","male","Perirhinal area, layer 5","PERI5","/997/8/567/688/695/315/922/692/",922,29,494.779226097045
"1:115","AN3","WT","male","Ventromedial hypothalamic nucleus","VMH","/997/8/343/1129/1097/467/693/",467,520,2867.88956419109
"1:116","AN3","WT","male","Olfactory areas","OLF","/997/8/567/688/695/698/",695,653,3938.81268623406
"1:117","AN3","WT","male","Cortical subplate","CTXsp","/997/8/567/688/703/",688,237,1460.8708516199
"1:120","AN3","WT","male","Temporal association areas, layer 6a","TEa6a","/997/8/567/688/695/315/541/729/",541,16,283.245999150262
"1:121","AN3","WT","male","Ventral posteromedial nucleus of the thalamus","VPM","/997/8/343/1129/549/864/637/709/733/",709,7,12.2252804828636
"1:122","AN3","WT","male","Primary auditory area, layer 1","AUDp1","/997/8/567/688/695/315/247/1002/735/",1002,119,5458.21484267498
"1:124","AN3","WT","male","Ventral auditory area, layer 2/3","AUDv2/3","/997/8/567/688/695/315/247/1018/755/",1018,203,3966.23813059279
"1:125","AN3","WT","male","Retrosplenial area, lateral agranular part, layer 5","RSPagl5","/997/8/567/688/695/315/254/894/774/",894,57,705.305880023758
"1:126","AN3","WT","male","corpus callosum","cc","/997/1009/983/776/",983,318,447.7050890553
"1:129","AN3","WT","male","Piriform-amygdala cortex","PAA","/997/8/567/688/695/698/788/",698,624,3751.17224132541
"1:130","AN3","WT","male","Zona incerta","ZI","/997/8/343/1129/1097/290/797/",290,95,310.375358156828
"1:131","AN3","WT","male","stria medullaris","sm","/997/1009/991/824/1083/802/",1083,31,3437.56930583278
"1:132","AN3","WT","male","Pallidum","PAL","/997/8/567/623/803/",623,26,864.879249550928
"1:133","AN3","WT","male","Supplemental somatosensory area, layer 2/3","SSs2/3","/997/8/567/688/695/315/453/378/806/",378,690,3436.68285394098
"1:134","AN3","WT","male","Primary auditory area, layer 4","AUDp4","/997/8/567/688/695/315/247/1002/816/",1002,15,1093.21478026383
"1:135","AN3","WT","male","Dorsomedial nucleus of the hypothalamus","DMH","/997/8/343/1129/1097/141/830/",141,422,2497.42563944749
"1:136","AN3","WT","male","Ectorhinal area/Layer 1","ECT1","/997/8/567/688/695/315/895/836/",895,142,4973.20771897874
"1:139","AN3","WT","male","Primary somatosensory area, upper limb, layer 2/3","SSp-ul2/3","/997/8/567/688/695/315/453/322/369/854/",369,17,1900.71556350626
"1:140","AN3","WT","male","Visceral area, layer 6a","VISC6a","/997/8/567/688/695/315/677/857/",677,15,216.241152132859
"1:141","AN3","WT","male","Supplemental somatosensory area, layer 6a","SSs6a","/997/8/567/688/695/315/453/378/862/",378,65,225.292360162765
"1:142","AN3","WT","male","Supplemental somatosensory area, layer 1","SSs1","/997/8/567/688/695/315/453/378/873/",378,559,5276.57164432698
"1:144","AN3","WT","male","Perirhinal area, layer 2/3","PERI2/3","/997/8/567/688/695/315/922/888/",922,118,1797.08202613384
"1:145","AN3","WT","male","Supplemental somatosensory area, layer 6b","SSs6b","/997/8/567/688/695/315/453/378/893/",378,8,251.833663865017
"1:146","AN3","WT","male","Visceral area, layer 1","VISC1","/997/8/567/688/695/315/677/897/",677,241,6156.4399938691
"1:147","AN3","WT","male","Retrosplenial area, lateral agranular part, layer 6a","RSPagl6a","/997/8/567/688/695/315/254/894/906/",894,37,712.072515925406
"1:148","AN3","WT","male","Entorhinal area, lateral part","ENTl","/997/8/567/688/695/1089/822/909/918/",909,71,2755.3554796647
"1:150","AN3","WT","male","cingulum bundle","cing","/997/1009/991/768/940/",768,50,545.416862107709
"1:151","AN3","WT","male","Primary somatosensory area, upper limb, layer 6a","SSp-ul6a","/997/8/567/688/695/315/453/322/369/945/",369,12,533.333333333333
"1:152","AN3","WT","male","Posterior hypothalamic nucleus","PH","/997/8/343/1129/1097/467/946/",467,539,3070.84012260571
"1:153","AN3","WT","male","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,85,582.682671017364
"1:155","AN3","WT","male","Ventral auditory area, layer 1","AUDv1","/997/8/567/688/695/315/247/1018/959/",1018,167,5194.07812888778
"1:156","AN3","WT","male","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,2959,2657.60619647066
"1:157","AN3","WT","male","Retrosplenial area, lateral agranular part, layer 2/3","RSPagl2/3","/997/8/567/688/695/315/254/894/965/",894,56,967.569155277571
"1:158","AN3","WT","male","Endopiriform nucleus, ventral part","EPv","/997/8/567/688/703/942/966/",942,48,1326.2599469496
"1:159","AN3","WT","male","Ectorhinal area/Layer 6a","ECT6a","/997/8/567/688/695/315/895/977/",895,14,347.411782222443
"1:160","AN3","WT","male","Dorsal premammillary nucleus","PMd","/997/8/343/1129/1097/467/980/",467,78,2972.6742635009
"1:161","AN3","WT","male","Primary somatosensory area, barrel field, layer 1","SSp-bfd1","/997/8/567/688/695/315/453/322/329/981/",329,394,3118.1987258122
"1:162","AN3","WT","male","Fasciola cinerea","FC","/997/8/567/688/695/1089/1080/982/",1080,103,3745.5907487545
"1:163","AN3","WT","male","Ectorhinal area/Layer 5","ECT5","/997/8/567/688/695/315/895/988/",895,29,553.720428465049
"1:164","AN3","WT","male","Ventral auditory area, layer 4","AUDv4","/997/8/567/688/695/315/247/1018/990/",1018,47,1757.73215153895
"1:167","AN3","WT","male","Primary somatosensory area, trunk, layer 1","SSp-tr1","/997/8/567/688/695/315/453/322/361/1006/",361,161,3398.91910150312
"1:168","AN3","WT","male","fiber tracts","fiber tracts","/997/1009/",997,407,966.289093753784
"1:171","AN3","WT","male","Globus pallidus, external segment","GPe","/997/8/567/623/803/818/1022/",818,36,385.364704874863
"1:172","AN3","WT","male","Ventral auditory area, layer 5","AUDv5","/997/8/567/688/695/315/247/1018/1023/",1018,21,275.337616362921
"1:173","AN3","WT","male","Globus pallidus, internal segment","GPi","/997/8/567/623/803/818/1031/",818,9,109.454430472113
"1:174","AN3","WT","male","Supplemental somatosensory area, layer 4","SSs4","/997/8/567/688/695/315/453/378/1035/",378,69,567.051823605792
"1:175","AN3","WT","male","Primary somatosensory area, barrel field, layer 6a","SSp-bfd6a","/997/8/567/688/695/315/453/322/329/1038/",329,167,447.58678359313
"1:177","AN3","WT","male","Anteromedial visual area, layer 6a","VISam6a","/997/8/567/688/695/315/669/394/1046/",394,15,1264.75548060708
"1:178","AN3","WT","male","Primary somatosensory area, barrel field, layer 4","SSp-bfd4","/997/8/567/688/695/315/453/322/329/1047/",329,158,483.415483369589
"1:179","AN3","WT","male","Visceral area, layer 5","VISC5","/997/8/567/688/695/315/677/1058/",677,55,578.752420237394
"1:180","AN3","WT","male","Primary somatosensory area, barrel field, layer 6b","SSp-bfd6b","/997/8/567/688/695/315/453/322/329/1062/",329,22,532.558702493343
"1:181","AN3","WT","male","Anteromedial visual area, layer 2/3","VISam2/3","/997/8/567/688/695/315/669/394/1066/",394,37,2383.09931727425
"1:182","AN3","WT","male","Primary somatosensory area, barrel field, layer 5","SSp-bfd5","/997/8/567/688/695/315/453/322/329/1070/",329,165,453.325347480747
"1:183","AN3","WT","male","Primary somatosensory area, trunk, layer 4","SSp-tr4","/997/8/567/688/695/315/453/322/361/1086/",361,10,207.460271358035
"1:184","AN3","WT","male","Hippocampal formation","HPF","/997/8/567/688/695/1089/",695,24,2068.96551724138
"1:185","AN3","WT","male","Supplemental somatosensory area, layer 5","SSs5","/997/8/567/688/695/315/453/378/1090/",378,69,218.678988752294
"1:186","AN3","WT","male","Hypothalamus","HY","/997/8/343/1129/1097/",1129,1312,1997.52136830214
"1:187","AN3","WT","male","Intercalated amygdala nucleus","IA","/997/8/567/623/477/278/1105/",278,70,2522.97711299333
"1:188","AN3","WT","male","Visceral area, layer 2/3","VISC2/3","/997/8/567/688/695/315/677/1106/",677,274,4370.36446287583
"1:189","AN3","WT","male","Primary somatosensory area, trunk, layer 5","SSp-tr5","/997/8/567/688/695/315/453/322/361/1111/",361,57,463.810569998779
"1:191","AN3","WT","male","Temporal association areas, layer 2/3","TEa2/3","/997/8/567/688/695/315/541/1127/",541,185,3410.76696165192
"1:192","AN3","WT","male","Primary somatosensory area, lower limb, layer 5","SSp-ll5","/997/8/567/688/695/315/453/322/337/1128/",337,16,961.88529517855
"1:193","AN3","WT","male","Dentate gyrus, molecular layer","DG-mo","/997/8/567/688/695/1089/1080/726/10703/",726,245,623.355740215859
"1:194","AN3","WT","male","Dentate gyrus, polymorph layer","DG-po","/997/8/567/688/695/1089/1080/726/10704/",726,100,1592.66101802892
"1:195","AN3","WT","male","Rostrolateral area, layer 6b","VISrl6b","/997/8/567/688/695/315/22/417/312782624/",417,26,765.606595995289
"2:1","AN2.1","Dp2Yey","female","internal capsule","int","/997/1009/983/784/6/",784,36,89.0881824525977
"2:3","AN2.1","Dp2Yey","female","Primary somatosensory area, trunk, layer 6a","SSp-tr6a","/997/8/567/688/695/315/453/322/361/9/",361,6,93.101201005493
"2:6","AN2.1","Dp2Yey","female","Intermediodorsal nucleus of the thalamus","IMD","/997/8/343/1129/549/856/444/59/",444,5,123.612450245989
"2:8","AN2.1","Dp2Yey","female","ventricular systems","VS","/997/73/",997,38,1309.35152642823
"2:9","AN2.1","Dp2Yey","female","lateral ventricle","VL","/997/73/81/",73,19,211.235505353152
"2:10","AN2.1","Dp2Yey","female","Anterior hypothalamic nucleus","AHN","/997/8/343/1129/1097/467/88/",467,28,345.922439247372
"2:11","AN2.1","Dp2Yey","female","Temporal association areas, layer 1","TEa1","/997/8/567/688/695/315/541/97/",541,83,2895.92128676599
"2:12","AN2.1","Dp2Yey","female","Periventricular hypothalamic nucleus, intermediate part","PVi","/997/8/343/1129/1097/157/118/",157,25,765.274886739317
"2:13","AN2.1","Dp2Yey","female","Agranular insular area, posterior part, layer 1","AIp1","/997/8/567/688/695/315/95/111/120/",111,138,2758.56554591612
"2:14","AN2.1","Dp2Yey","female","optic tract","opt","/997/1009/967/848/125/",848,89,877.409178291517
"2:15","AN2.1","Dp2Yey","female","third ventricle","V3","/997/73/129/",73,138,1216.22336206441
"2:16","AN2.1","Dp2Yey","female","Lateral amygdala nucleus","LA","/997/8/567/688/703/131/",703,4,32.7051224398021
"2:17","AN2.1","Dp2Yey","female","Paraventricular nucleus of the thalamus","PVT","/997/8/343/1129/549/856/571/149/",571,144,2734.41950552581
"2:18","AN2.1","Dp2Yey","female","Lateral dorsal nucleus of thalamus","LD","/997/8/343/1129/549/856/239/155/",239,17,66.3730634682659
"2:19","AN2.1","Dp2Yey","female","Dorsal auditory area, layer 6a","AUDd6a","/997/8/567/688/695/315/247/1011/156/",1011,4,135.551865532549
"2:20","AN2.1","Dp2Yey","female","Agranular insular area, posterior part, layer 2/3","AIp2/3","/997/8/567/688/695/315/95/111/163/",111,42,416.014580320529
"2:21","AN2.1","Dp2Yey","female","Dorsal part of the lateral geniculate complex","LGd","/997/8/343/1129/549/864/1008/170/",1008,9,90.9357286477857
"2:22","AN2.1","Dp2Yey","female","Retrochiasmatic cortex","RCH","/997/8/343/1129/1097/290/173/",290,139,2234.36746503778
"2:23","AN2.1","Dp2Yey","female","Ventral part of the lateral geniculate complex","LGv","/997/8/343/1129/549/856/1014/178/",1014,9,305.002033346889
"2:24","AN2.1","Dp2Yey","female","Nucleus of reuniens","RE","/997/8/343/1129/549/856/571/181/",571,3,49.1046583952598
"2:25","AN2.1","Dp2Yey","female","Lateral habenula","LH","/997/8/343/1129/549/856/958/186/",958,15,200.951168865966
"2:26","AN2.1","Dp2Yey","female","Lateral hypothalamic cortex","LHA","/997/8/343/1129/1097/290/194/",290,231,356.599797772409
"2:27","AN2.1","Dp2Yey","female","Primary somatosensory area, barrel field, layer 2/3","SSp-bfd2/3","/997/8/567/688/695/315/453/322/329/201/",329,241,1094.33036971111
"2:29","AN2.1","Dp2Yey","female","Lateral posterior nucleus of the thalamus","LP","/997/8/343/1129/549/856/138/218/",138,36,212.066588908917
"2:30","AN2.1","Dp2Yey","female","Arcuate hypothalamic nucleus","ARH","/997/8/343/1129/1097/157/223/",157,145,2043.60633095147
"2:31","AN2.1","Dp2Yey","female","Temporal association areas, layer 4","TEa4","/997/8/567/688/695/315/541/234/",541,7,415.454923140839
"2:32","AN2.1","Dp2Yey","female","Primary auditory area, layer 2/3","AUDp2/3","/997/8/567/688/695/315/247/1002/251/",1002,53,2098.92677517722
"2:33","AN2.1","Dp2Yey","female","Dorsal auditory area, layer 5","AUDd5","/997/8/567/688/695/315/247/1011/252/",1011,16,273.116774490893
"2:35","AN2.1","Dp2Yey","female","Reticular nucleus of the thalamus","RT","/997/8/343/1129/549/856/262/",856,21,103.254482965469
"2:36","AN2.1","Dp2Yey","female","Retrosplenial area, dorsal part, layer 6a","RSPd6a","/997/8/567/688/695/315/254/879/274/",879,11,144.430876695422
"2:37","AN2.1","Dp2Yey","female","Striatum-like amygdala nuclei","sAMY","/997/8/567/623/477/278/",477,14,377.888145109048
"2:38","AN2.1","Dp2Yey","female","Anteromedial visual area, layer 1","VISam1","/997/8/567/688/695/315/669/394/281/",394,49,1926.55500511127
"2:40","AN2.1","Dp2Yey","female","Temporal association areas, layer 5","TEa5","/997/8/567/688/695/315/541/289/",541,27,500.741839762611
"2:41","AN2.1","Dp2Yey","female","Bed nucleus of the accessory olfactory tract","BA","/997/8/567/623/477/278/292/",278,40,1502.40384615385
"2:42","AN2.1","Dp2Yey","female","stria terminalis","st","/997/1009/991/768/301/",768,16,165.25340576941
"2:43","AN2.1","Dp2Yey","female","Basolateral amygdala nucleus, anterior part","BLAa","/997/8/567/688/703/295/303/",295,11,58.2620946812004
"2:45","AN2.1","Dp2Yey","female","Agranular insular area, posterior part, layer 6a","AIp6a","/997/8/567/688/695/315/95/111/314/",111,6,104.651771231228
"2:46","AN2.1","Dp2Yey","female","Basomedial amygdala ","BMA","/997/8/567/688/703/319/",703,59,286.393864375516
"2:47","AN2.1","Dp2Yey","female","Substantia innominata","SI","/997/8/567/623/803/835/342/",835,18,311.888136121844
"2:48","AN2.1","Dp2Yey","female","Agranular insular area, posterior part, layer 5","AIp5","/997/8/567/688/695/315/95/111/344/",111,15,159.438775510204
"2:51","AN2.1","Dp2Yey","female","Mediodorsal nucleus of thalamus","MD","/997/8/343/1129/549/856/444/362/",444,37,115.092696279706
"2:52","AN2.1","Dp2Yey","female","CA1","CA1","/997/8/567/688/695/1089/1080/375/382/",375,88,117.329422352588
"2:55","AN2.1","Dp2Yey","female","Medial amygdala nucleus","MEA","/997/8/567/623/477/278/403/",278,203,467.627722261383
"2:56","AN2.1","Dp2Yey","female","CA2","CA2","/997/8/567/688/695/1089/1080/375/423/",375,17,134.83288653416
"2:57","AN2.1","Dp2Yey","female","Ectorhinal area/Layer 2/3","ECT2/3","/997/8/567/688/695/315/895/427/",895,16,548.903907509692
"2:58","AN2.1","Dp2Yey","female","Retrosplenial area, ventral part, layer 2/3","RSPv2/3","/997/8/567/688/695/315/254/886/430/",886,47,449.013126468846
"2:59","AN2.1","Dp2Yey","female","Anteromedial visual area, layer 5","VISam5","/997/8/567/688/695/315/669/394/433/",394,4,117.329578786812
"2:60","AN2.1","Dp2Yey","female","Retrosplenial area, dorsal part, layer 2/3","RSPd2/3","/997/8/567/688/695/315/254/879/434/",879,179,1934.34048715122
"2:61","AN2.1","Dp2Yey","female","columns of the fornix","fx","/997/1009/991/768/1099/737/436/",737,7,355.077609820432
"2:63","AN2.1","Dp2Yey","female","Retrosplenial area, dorsal part, layer 1","RSPd1","/997/8/567/688/695/315/254/879/442/",879,232,3914.81893962404
"2:64","AN2.1","Dp2Yey","female","dorsal hippocampal commissure","dhc","/997/1009/991/768/1099/618/443/",618,7,118.257226361225
"2:65","AN2.1","Dp2Yey","female","Basolateral amygdala nucleus, ventral part","BLAv","/997/8/567/688/703/295/451/",295,13,336.11707216175
"2:66","AN2.1","Dp2Yey","female","CA3","CA3","/997/8/567/688/695/1089/1080/375/463/",375,85,238.670856042163
"2:67","AN2.1","Dp2Yey","female","alveus","alv","/997/1009/991/768/1099/466/",1099,11,193.969317580674
"2:68","AN2.1","Dp2Yey","female","Subthalamic nucleus","STN","/997/8/343/1129/1097/290/470/",290,11,331.345261762757
"2:69","AN2.1","Dp2Yey","female","Striatum","STR","/997/8/567/623/477/",623,97,576.108712307939
"2:71","AN2.1","Dp2Yey","female","Medial habenula","MH","/997/8/343/1129/549/856/958/483/",958,73,1043.55781739168
"2:73","AN2.1","Dp2Yey","female","Ventral auditory area, layer 6a","AUDv6a","/997/8/567/688/695/315/247/1018/520/",1018,3,81.7951304632331
"2:74","AN2.1","Dp2Yey","female","Dorsal auditory area, layer 1","AUDd1","/997/8/567/688/695/315/247/1011/527/",1011,71,2137.00939080183
"2:75","AN2.1","Dp2Yey","female","Central amygdala ","CEA","/997/8/567/623/477/278/536/",278,106,340.388363855894
"2:76","AN2.1","Dp2Yey","female","Perirhinal area, layer 1","PERI1","/997/8/567/688/695/315/922/540/",922,46,2065.28083329592
"2:77","AN2.1","Dp2Yey","female","Retrosplenial area, ventral part, layer 1","RSPv1","/997/8/567/688/695/315/254/886/542/",886,63,810.049760199555
